Timestamp;X;X;rol;pit
2000;-4.480557E-001;-3.221651E+000;-3.221651E+000;-1.673858E+001
15000;-4.483302E-001;-2.381220E+000;-2.381220E+000;-1.519779E+001
26000;-4.486032E-001;-4.902512E-001;-4.902512E-001;-1.456746E+001
37000;-4.488823E-001;-1.050538E+000;-1.050538E+000;-1.428732E+001
49000;-4.491698E-001;-6.303231E-001;-6.303231E-001;-1.337685E+001
61000;-4.494531E-001;4.202154E-001;4.202154E-001;-1.190610E+001
72000;-4.497353E-001;1.190610E+000;1.190610E+000;-1.260646E+001
83000;-4.500104E-001;1.330682E+000;1.330682E+000;-1.400718E+001
94000;-4.502833E-001;1.540790E+000;1.540790E+000;-1.435736E+001
106000;-4.505556E-001;3.501795E-001;3.501795E-001;-1.477757E+001
117000;-4.508277E-001;-7.003589E-002;-7.003589E-002;-1.505772E+001
129000;-4.508277E-001;-2.801436E-001;-2.801436E-001;-1.687865E+001
141000;-4.513867E-001;-2.801436E-001;-2.801436E-001;-1.547793E+001
153000;-4.513867E-001;1.120574E+000;1.120574E+000;-1.365700E+001
164000;-4.516611E-001;1.961005E+000;1.961005E+000;-1.197614E+001
175000;-4.519336E-001;2.171113E+000;2.171113E+000;-1.029528E+001
187000;-4.524839E-001;1.190610E+000;1.190610E+000;-1.036531E+001
199000;-4.524839E-001;0.000000E+000;0.000000E+000;-1.050538E+001
210000;-4.527642E-001;-7.003589E-001;-7.003589E-001;-1.099564E+001
223000;-4.530451E-001;-1.400718E-001;-1.400718E-001;-1.148589E+001
237000;-4.533195E-001;4.902512E-001;4.902512E-001;-1.204617E+001
249000;-4.535985E-001;-4.202154E-001;-4.202154E-001;-1.323678E+001
260000;-4.538788E-001;-2.591328E+000;-2.591328E+000;-1.449743E+001
272000;-4.541595E-001;-2.591328E+000;-2.591328E+000;-1.449743E+001
284000;-4.544402E-001;7.003589E-002;7.003589E-002;-1.344689E+001
295000;-4.547144E-001;1.050538E+000;1.050538E+000;-1.204617E+001
306000;-4.549932E-001;7.703948E-001;7.703948E-001;-1.239635E+001
317000;-4.552733E-001;1.120574E+000;1.120574E+000;-1.113571E+001
328000;-4.552733E-001;2.661364E+000;2.661364E+000;-1.036531E+001
340000;-4.555472E-001;9.805024E-001;9.805024E-001;-9.384809E+000
352000;-4.561124E-001;-7.003589E-002;-7.003589E-002;-1.043535E+001
365000;-4.563947E-001;-1.540790E+000;-1.540790E+000;-1.134581E+001
378000;-4.566757E-001;-8.404307E-001;-8.404307E-001;-1.120574E+001
390000;-4.569497E-001;-1.260646E+000;-1.260646E+000;-1.204617E+001
401000;-4.572215E-001;-3.571831E+000;-3.571831E+000;-1.316675E+001
414000;-4.574992E-001;-5.532835E+000;-5.532835E+000;-1.442739E+001
426000;-4.577787E-001;-2.661364E+000;-2.661364E+000;-1.288660E+001
438000;-4.580587E-001;-2.941507E+000;-2.941507E+000;-1.141585E+001
449000;-4.583389E-001;-3.011543E+000;-3.011543E+000;-1.099564E+001
460000;-4.586124E-001;-2.871471E+000;-2.871471E+000;-1.127578E+001
471000;-4.588839E-001;-2.031041E+000;-2.031041E+000;-1.078553E+001
483000;-4.591614E-001;-1.400718E-001;-1.400718E-001;-1.015520E+001
495000;-4.594407E-001;-1.470754E+000;-1.470754E+000;-1.064546E+001
506000;-4.594407E-001;-1.400718E-001;-1.400718E-001;-1.008517E+001
518000;-4.597204E-001;-1.330682E+000;-1.330682E+000;-9.875061E+000
529000;-4.600003E-001;-3.641866E+000;-3.641866E+000;-1.008517E+001
541000;-4.602801E-001;-6.793481E+000;-6.793481E+000;-1.064546E+001
552000;-4.605599E-001;-8.264235E+000;-8.264235E+000;-1.064546E+001
564000;-4.608399E-001;-5.462800E+000;-5.462800E+000;-8.894558E+000
576000;-4.611130E-001;-3.221651E+000;-3.221651E+000;-8.544379E+000
587000;-4.613907E-001;-2.941507E+000;-2.941507E+000;-8.474343E+000
598000;-4.616631E-001;-2.101077E+000;-2.101077E+000;-8.544379E+000
609000;-4.619339E-001;-3.501795E-001;-3.501795E-001;-7.773984E+000
621000;-4.622109E-001;-3.501795E-001;-3.501795E-001;-8.334271E+000
633000;-4.624962E-001;-1.680861E+000;-1.680861E+000;-8.894558E+000
645000;-4.627774E-001;-3.151615E+000;-3.151615E+000;-1.001513E+001
657000;-4.630510E-001;-3.641866E+000;-3.641866E+000;-1.078553E+001
668000;-4.633285E-001;-3.641866E+000;-3.641866E+000;-1.078553E+001
679000;-4.636073E-001;-3.571831E+000;-3.571831E+000;-1.022524E+001
690000;-4.638864E-001;-5.532835E+000;-5.532835E+000;-1.246639E+001
702000;-4.641655E-001;-6.933553E+000;-6.933553E+000;-1.246639E+001
714000;-4.644447E-001;-4.412261E+000;-4.412261E+000;-1.071549E+001
727000;-4.647239E-001;-3.501795E+000;-3.501795E+000;-1.015520E+001
